Rank,Major_code,Major,Major_category,Total,Sample_size,Men,Women,ShareWomen,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
162,1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,1488,24,4754,12223,0.719974083,1290,1098,335,936,82,0.059766764,29000,23000,42100,483,626,31
163,5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,38844,247,1167,36422,0.968953683,29633,20147,14515,13232,3395,0.102791571,28000,20000,38000,9805,16693,6866
164,6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,38279,95,11376,27468,0.707136237,29763,19975,13862,14460,1487,0.047584,28000,20000,40000,19957,9404,5125
165,2307,EARLY CHILDHOOD EDUCATION,Education,37589,342,1225,37054,0.967998119,32551,27569,7001,20748,1360,0.040104981,28000,21000,35000,23515,7705,2868
166,2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,11204,56,3472,7732,0.690110675,7052,5197,3685,3214,846,0.107115726,27500,22900,38000,2326,3703,1115
167,6001,DRAMA AND THEATER ARTS,Arts,43249,357,7022,11931,0.629504564,36165,25147,15994,16891,3040,0.07754113,27000,19200,35000,6994,25313,11068
168,3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts,18953,151,14440,28809,0.666119448,15053,10121,6612,7832,1340,0.081742207,27000,20000,35000,4855,8100,3466
169,3609,ZOOLOGY,Biology & Life Science,8409,47,3050,5359,0.637293376,6259,5043,2190,3602,304,0.04632028,26000,20000,39000,2771,2947,743
170,5201,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,2854,7,522,2332,0.817098809,2125,1848,572,1211,148,0.065112187,25000,24000,34000,1488,615,82
171,5202,CLINICAL PSYCHOLOGY,Psychology & Social Work,2838,13,568,2270,0.799859056,2101,1724,648,1293,368,0.149048198,25000,25000,40000,986,870,622
172,5203,COUNSELING PSYCHOLOGY,Psychology & Social Work,4626,21,931,3695,0.798746217,3777,3154,965,2738,214,0.053620646,23400,19200,26000,2403,1245,308
173,3501,LIBRARY SCIENCE,Education,1098,2,134,964,0.877959927,742,593,237,410,87,0.104945718,22000,20000,22000,288,338,192
